ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
C130_RP	N-Acetyl-L-histidine	3.740000000000000	0.000017933098173152400000000000
C138_RP	4-Hydroxyprolylthreonine	1.490000000000000	0.000829713717029761000000000000
C160_RP	N-Stearoyltyrosine	2.400000000000000	0.000003283152064115930000000000
B089_RP	N-Acetylornithine	3.350000000000000	0.000000982721054387309000000000
C118_RP	3-Methylenenorleucine	4.960000000000000	0.000000909549731864523000000000
C113_RP	1-Methylhistamine	1.480000000000000	0.034959366103728200000000000000
C154_RP	(2E)-hexadecenoylcarnitine	1.260000000000000	0.001927141145933310000000000000
c193_RP	O-glutaroyl-L-carnitine	6.150000000000000	0.000092576999697461600000000000
C158_RP	O-oleoylcarnitine	1.950000000000000	0.000027693713467968200000000000
B106_RP	Palmitoylcarnitine	1.400000000000000	0.000184226812472924000000000000
C145_RP	Glycerophosphoglycerol	1.090000000000000	0.000046534720036615900000000000
C120_RP	hydroxyacetone phosphate	2.350000000000000	0.000006984348486960540000000000
C169_RP	1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	2.390000000000000	0.000009159167000589520000000000
C167_RP	1-arachidonoyl-sn-glycero-3-phosphocholine	2.360000000000000	0.004027629402626240000000000000
C166_RP	2-arachidonoyl-sn-glycero-3-phosphocholine	2.870000000000000	0.000000028025192622412200000000
C164_RP	2-arachidonyl-sn-glycero-3-phosphoethanolamine	1.690000000000000	0.006120237430047490000000000000
C132_RP	Glycerylphosphorylethanolamine	1.230000000000000	0.000269417997162152000000000000
C165_RP	lysophosphatidylethanolamine (22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)	1.800000000000000	0.001769343084924220000000000000
C114_RP	Dihydrothymine	4.470000000000000	0.000000001553931608389010000000
B109_RP	Adenosine diphosphate ribose	6.740000000000000	0.002032278704796070000000000000
