ID	Name	(P40, KO) / (E14_5, KO)	(P40, KO) / (E14_5, KO).1
C278_HILIC	N-Tridecanoylglycine	-1.850000000000000	0.014658888986526000000000000000
C257_HILIC	N-Undecanoylglycine	-1.820000000000000	0.020997899311773400000000000000
A033_HILIC	6-Oxo-pipecolinic acid	-3.740000000000000	0.000000543402140915900000000000
C226_HILIC	N~6~,N~6~-Dimethyllysine	-1.920000000000000	0.000055251280343901400000000000
C215_HILIC	N6-METHYLLYSINE	0.780000000000000	0.041485511488534300000000000000
B130_HILIC	DL-Stachydrine	-3.110000000000000	0.000196146627292532000000000000
C200_HILIC	Pentahomoserine	-1.820000000000000	0.000096533618516238100000000000
C301_HILIC	N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine	-2.500000000000000	0.000000072150750648546200000000
C250_HILIC	N-(tert-Butoxycarbonyl)-L-leucine	-3.990000000000000	0.000000000058286221411895400000
B175_HILIC	4-Dodecylbenzenesulfonic acid	-1.480000000000000	0.009709889171491630000000000000
C190_HILIC	Phosphoramidic acid	0.340000000000000	0.026606545920991400000000000000
C227_HILIC	3,3'-Thiobispropanoic acid	-2.500000000000000	0.000000006045997999178340000000
C208_HILIC	alpha-Ketoglutaric acid	-3.840000000000000	0.000000019137889367087700000000
C286_HILIC	ophthalmic acid	-2.960000000000000	0.000012275494112183700000000000
A112_HILIC	PC	-2.240000000000000	0.000000169653665335293000000000
C265_HILIC	Asp-Asp	0.820000000000000	0.000311711865611411000000000000
C273_HILIC	glu-asp	-1.580000000000000	0.000008403072956348090000000000
C277_HILIC	threonylphenylalanine	-2.440000000000000	0.020221144995051500000000000000
B151_HILIC	Valylproline	-2.580000000000000	0.000000135196414189763000000000
C224_HILIC	Hydantoin-5-propionic acid	-1.290000000000000	0.000000244765194094918000000000
B149_HILIC	Acetyl-L-carnitine	-1.090000000000000	0.000041908319296043200000000000
C264_HILIC	(R)-3-hydroxybutyrylcarnitine	-0.820000000000000	0.047989991106865700000000000000
C260_HILIC	2-methylbutyrylcarnitine	-1.910000000000000	0.007671188418038440000000000000
C293_HILIC	cis-5-Tetradecenoylcarnitine	-1.880000000000000	0.000053662582110840400000000000
c363_HILIC	L-Hexanoylcarnitine	-5.000000000000000	0.000000000106271845377757000000
c378_HILIC	trans-2-Tetradecenoylcarnitine	-1.850000000000000	0.000063294598984498600000000000
B179_HILIC	Erucamide	-2.710000000000000	0.000367787696046691000000000000
C291_HILIC	(2E,4Z)-N-Isobutyl-2,4-octadecadienamide	-2.140000000000000	0.006703597009901130000000000000
B152_HILIC	12-Aminododecanoic acid	-1.740000000000000	0.006426857693424130000000000000
C290_HILIC	1-(sn-glycero-3-phospho)-1D-myo-inositol	0.790000000000000	0.019456287787213500000000000000
