ID	Name	(P40, WT) / (E14_5, WT)	(P40, WT) / (E14_5, WT).1
A024_HILIC	N-Acetylputrescine	-5.770000000000000	0.000000000018648918158518200000
A006_HILIC	N,N-Dimethylglycine	-3.930000000000000	0.000000584668488918368000000000
A003_HILIC	Sarcosine	-4.170000000000000	0.000000017412677805900800000000
B121_HILIC	Aminolevulinic acid	-4.020000000000000	0.000000000003299087854754150000
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-8.170000000000000	0.000000001857822008786930000000
A016_HILIC	L-(-)-Threonine	-2.990000000000000	0.000000000003823782316422130000
A046_HILIC	DL-Methionine sulfoxide	-1.710000000000000	0.000003282357690741910000000000
B147_HILIC	N-Acetyl-L-methionine	0.960000000000000	0.001265357890855450000000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-1.510000000000000	0.000000037299774792304600000000
A017_HILIC	L-Homoserine	-1.320000000000000	0.000000842402736105794000000000
A102_HILIC	Adenosine 5'-triphosphate (5'-ATP)	-3.400000000000000	0.000000051297739746323400000000
B140_HILIC	cis-Aconitic acid	0.600000000000000	0.043484519017896400000000000000
A111_HILIC	NADPH	-3.780000000000000	0.000545873062490774000000000000
A110_HILIC	Nicotinamide adenine dinucleotide phosphate (NADP+)	-1.410000000000000	0.000627002991310967000000000000
B180_HILIC	α,α-Trehalose	-3.740000000000000	0.000164675221817186000000000000
A059_HILIC	D-(-)-3-Phosphoglyceric acid	-2.430000000000000	0.000148872756214161000000000000
B132_HILIC	D-α-Hydroxyglutaric acid	0.520000000000000	0.004682609457860000000000000000
B163_HILIC	Oleamide	-1.440000000000000	0.000081621068780988600000000000
B172_HILIC	11(Z),14(Z)-Eicosadienoic acid	0.900000000000000	0.000230152249849032000000000000
B155_HILIC	Myristic acid	-0.680000000000000	0.012204128670414500000000000000
B136_HILIC	Nonanoic acid	-2.570000000000000	0.030194202294677500000000000000
B138_HILIC	7-Methylguanine	-2.050000000000000	0.000000065014321782676500000000
A096_HILIC	Cytidine 5'-diphosphate (5'-CDP)	-2.780000000000000	0.020394042572051200000000000000
A100_HILIC	Cytidine 5'-triphosphate (5'-CTP)	-6.560000000000000	0.000000000138196312549549000000
A040_HILIC	Guanine	-3.540000000000000	0.000038458439247444600000000000
A104_HILIC	Guanosine 5'-triphosphate (5'-GTP)	-1.190000000000000	0.020354783003174100000000000000
B158_HILIC	Pseudouridine	-1.550000000000000	0.000216916730008177000000000000
A095_HILIC	Thymidine 5'-diphosphate (5'-TDP)	-5.060000000000000	0.000000008144267242428290000000
B183_HILIC	Uridine 5'-diphosphate (UDP)	-5.550000000000000	0.000000000006006286377348920000
A042_HILIC	Orotic acid	-2.420000000000000	0.000000001698375947188850000000
B186_HILIC	Uridine 5'-diphosphoglucuronic acid	-2.120000000000000	0.000000170127220517530000000000
A092_HILIC	(-)-Riboflavin	-0.640000000000000	0.044770706898487100000000000000
A083_HILIC	Retinoic acid	-4.260000000000000	0.001420356495406090000000000000
