ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
A010_RP	Betaine	-1.840000000000000	0.000080624238937766500000000000
A009_RP	Guanidineacetic acid	-2.410000000000000	0.000000709227681340184000000000
B081_RP	Pipecolic acid	-1.990000000000000	0.010851578546610100000000000000
A065_RP	S-(5'-Adenosyl)-L-methionine (SAM)	-0.850000000000000	0.004122629543640930000000000000
A016_RP	Hydroxy-L-proline	-4.280000000000000	0.000000000697481743722586000000
A007_RP	L-Proline	-1.750000000000000	0.000024780130654812800000000000
A048_RP	L-(+)-Cystathionine	-2.920000000000000	0.000000054545350650890100000000
A005_RP	Hypotaurine	-2.540000000000000	0.000000069231351567586300000000
A013_RP	Taurine	-0.510000000000000	0.010390765978354400000000000000
A012_RP	Threonine	-1.120000000000000	0.000026222268990171800000000000
A045_RP	L-Tryptophan	-1.130000000000000	0.021575169171887500000000000000
A038_RP	L-Citrulline	-1.940000000000000	0.000001831837393860520000000000
A020_RP	L-Ornithine	-2.280000000000000	0.000004076861194237110000000000
A043_RP	Gluconic acid	-1.590000000000000	0.000000062535177779688700000000
A067_RP	CDP-ethanolamine	0.510000000000000	0.004033018791888160000000000000
B103_RP	Uridine monophosphate (UMP)	-1.490000000000000	0.000390474546921777000000000000
B110_RP	UDP-N-acetylglucosamine	-0.730000000000000	0.010339538967323500000000000000
A031_RP	Allantoin	-2.410000000000000	0.000016433966832618900000000000
C123_RP	acetyltaurine	-2.870000000000000	0.000000047439117837252200000000
C133_RP	D-PANTOTHENIC ACID	-1.140000000000000	0.010585845380345800000000000000
C137_RP	N-(tert-Butoxycarbonyl)-L-leucine	-1.070000000000000	0.000307045833682882000000000000
C139_RP	5-(Phosphonooxy)-L-lysine	-2.160000000000000	0.000000000017982607273177900000
C129_RP	DL-2,6-Diaminopimelic acid	-1.380000000000000	0.000102365474330443000000000000
C127_RP	N~6~,N~6~-Dimethyllysine	-1.540000000000000	0.000498049580012395000000000000
C125_RP	Guanidinoethyl Sulfonate	-1.010000000000000	0.025544824550162500000000000000
C147_RP	Glutaurine	-0.950000000000000	0.021119479621714900000000000000
c185_RP	(R)-3-hydroxybutyrylcarnitine	-1.420000000000000	0.000106891754514240000000000000
c204_RP	3, 5-Tetradecadiencarnitine	-2.040000000000000	0.047943814972812100000000000000
B098_RP	Hexanoylcarnitine	-2.220000000000000	0.000025104573755867800000000000
B108_RP	Glycerophospho-N-palmitoyl ethanolamine	-1.070000000000000	0.001983335365285910000000000000
C161_RP	L-alpha-lysophosphatidylcholine	-3.770000000000000	0.000000000003941718746274930000
C116_RP	Phosphoryethanolamine	-0.650000000000000	0.000022139737459835800000000000
