ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
C236_HILIC	4-Hydroxy-2-oxoheptanedioic acid	-1.000000000000000	0.001612430737269440000000000000
B149_HILIC	Acetyl-L-carnitine	0.720000000000000	0.012114463036268600000000000000
c363_HILIC	L-Hexanoylcarnitine	-2.110000000000000	0.000024160537758970100000000000
B123_HILIC	2-Hydroxycaproic acid	-1.650000000000000	0.019665397759131700000000000000
C335_HILIC	1-palmitoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine	-3.700000000000000	0.000000000035062093968936900000
C306_HILIC	1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	-1.060000000000000	0.001528494494988740000000000000
C332_HILIC	1-tetradecanoyl-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	-2.920000000000000	0.000000027942044384626000000000
C330_HILIC	1-tetradecanoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine	-6.810000000000000	0.000000000005006776355516660000
B185_HILIC	Glycerophospho-N-palmitoyl ethanolamine	-1.070000000000000	0.000192955687649575000000000000
C245_HILIC	Glycerylphosphorylethanolamine	-2.950000000000000	0.000000077760416093691300000000
C308_HILIC	L-alpha-lysophosphatidylcholine	-4.320000000000000	0.000000000005006776355516660000
C346_HILIC	PC	1.000000000000000	0.015389370221138900000000000000
C328_HILIC	PC(14:0/14:0)	-7.290000000000000	0.000000000005006776355516660000
C340_HILIC	PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))	-2.180000000000000	0.000000000005006776355516660000
C285_HILIC	1-Methylinosine	-3.280000000000000	0.000000023017811087933700000000
C269_HILIC	1-(beta-D-ribofuranosyl)thymine	-5.600000000000000	0.000000038700146661280600000000
C284_HILIC	1-Methyladenosine	-0.980000000000000	0.002507098040500490000000000000
C326_HILIC	CMP-sialic acid	0.780000000000000	0.005557408896333770000000000000
B168_HILIC	N2-Methylguanosine	-2.160000000000000	0.000000651312804159064000000000
B165_HILIC	Orotidine	-2.140000000000000	0.000000000896770465142596000000
C325_HILIC	GDP-fucose	0.450000000000000	0.007902489395984900000000000000
C214_HILIC	delta-guanidinovaleric acid	-4.970000000000000	0.000000003931789743951160000000
a076_RP	NG-Methyl-L-arginine	-2.230000000000000	0.000002122363201353540000000000
a074_RP	Putrescine	-4.880000000000000	0.000000000003544764481944180000
A024_RP	Spermidine	-1.720000000000000	0.000059708572662644600000000000
A012_RP	Threonine	-1.120000000000000	0.000026222268990171800000000000
C139_RP	5-(Phosphonooxy)-L-lysine	-2.160000000000000	0.000000000017982607273177900000
C129_RP	DL-2,6-Diaminopimelic acid	-1.380000000000000	0.000102365474330443000000000000
C125_RP	Guanidinoethyl Sulfonate	-1.010000000000000	0.025544824550162500000000000000
c185_RP	(R)-3-hydroxybutyrylcarnitine	-1.420000000000000	0.000106891754514240000000000000
c204_RP	3, 5-Tetradecadiencarnitine	-2.040000000000000	0.047943814972812100000000000000
B098_RP	Hexanoylcarnitine	-2.220000000000000	0.000025104573755867800000000000
C161_RP	L-alpha-lysophosphatidylcholine	-3.770000000000000	0.000000000003941718746274930000
C116_RP	Phosphoryethanolamine	-0.650000000000000	0.000022139737459835800000000000
